x	y	z
-10	5	51
-11.5	15	4.5
-11	-24	2
-11	-72	-14
-11	45	17
-12	-12	6
-12	-3	13
-13	-91	2
-16	-64	-21
-16	-76	33
-16	29	54
-17	-68	20
-18	-50	1
-19	-66	-1
-1	28	40
-20	-78	-2
-20	12	-3
-21	-79	-33
-22.5	7	6.5
-23	33	47
-24	-30	64
-24	-54	-21
-25	-60	-34
-25	51	27
-26	-8	54
-28	-42	-11
-28	-44	-25
-29	-75	28
-29	-88	8
-29	57	10
-2	-75	32
-2	30	27
-30	-14	1
-30	-28	9
-32	-58	46
-34	-39	65
-34	-57	-24
-34	-60	-5
-34	-67	-29
-34	32	7
-35	-46	48
-36	-12	15
-36	-69	40
-36	18	2
-37	-2	-3
-37	-83	-2
-38	-15	59
-38	-27	60
-39	-71	13
-39	42	16
-3	-38	45
-40	17	40
-40	36	29
-41	-31	48
-41	-37	16
-41	-40	42
-41	-47	29
-42	-24	17
-42	-3	11
-42	-76	26
-42	7	36
-43	-43	8
-43	47	2
-44	-63	-7
-44	-6	49
-44	27	33
-46	-62	5
-46	10	14
-46	39	-15
-47	-12	36
-47	-18	50
-48	-47	49
-48	-63	35
-48	6	1
-4	-31	-4
-4	-94	12
-51	23	8
-52	-15	-13
-52	-63	15
-52	28	17
-53	-37	13
-53	-3	32
-53	-50	39
-54	-22	22
-54	-22	9
-54	-9	23
-55	-22	38
-55	-44	30
-55	7	23
-58	11	14
-59	-13	8
-59	-25	-15
-59	-47	11
-5	-43	25
-5	-80	9
-61	-41	-2
-6	-56	29
-6	-60	-15
-6	17	34
-6	64	3
-8	-41	3
-8	-55	17
-9	-72	41
-9	9	-8
0	-1	52
0	15	45
0	51	32
10	-55	17
10	5	51
11	-12	6
11	-24	2
11	-68	42
12.33	12	5.33
12	-3	13
13	-91	2
15	-77	32
16	29	54
17	-68	20
18	-27	62
18	-50	1
19	-66	-1
1	-26	31
1	-66	-24
20	-78	-2
20	12	-3
21	-64	-22
23	33	47
24	-54	-21
26	-8	54
27	-91	2
27	3.33	4
27	49	26
28	-37	-15
28	-44	-25
29	-73	29
29	-81	14
29	57	18
30	-28	9
32	-12	2
32	-59	41
32	-61	-31
33	-12	16
33	-81	-2
34	-39	65
34	32	7
35	-46	48
36	-60	-8
36	-69	40
37	-2	-3
38	21	-1
39	-71	13
39	42	16
40	17	40
40	36	29
41	-23	55
41	-31	48
41	-37	16
41	-40	42
42	-24	17
42	-46	21
43	-43	8
43	1	12
44	-11	38
44	-52	47
44	-6	49
44	8	34
45	-72	29
46	-20	45
46	-62	5
46	-8	24
46	28	31
48	6	1
51	-30	5
51	-59	34
51	23	8
52	-15	-13
52	-63	15
52	28	17
53	-3	32
54	-22	22
54	-44	43
55	-22	38
55	-44	30
55	7	23
58	-3	17
58	-41	20
58	11	14
59	-13	8
59	-47	11
5	-50	33
5	-75	-11
60	8	34
61	-41	-2
6	-60	-15
6	64	3
8	-40	50
8	-41	3
9	-43	25
9	-76	14
9	20	34
9	39	20
9	51	16
9	9	-8
36	-69	4
37	-2	-30
38	21	-10
39	-71	1
39	42	6
40	17	4
40	36	2
41	-23	5
41	-31	8
41	-37	1
41	-40	4
42	-24	1
42	-46	2
43	-43	80
43	1	1
44	-11	3
44	-52	7
44	-6	9
44	8	3
45	-72	2
46	-20	5
46	-62	5
46	-8	24
46	28	31
48	6	1
51	-30	5
51	-59	3
51	23	80
52	-15	-3
52	-63	1
52	28	10
53	-3	3
54	-22	2
54	-44	4
55	-22	3
55	-44	3
55	7	2
58	-3	1
58	-41	2
58	11	1
59	-13	80
59	-47	1
5	-50	3
5	-75	-1
60	8	3
61	-41	-20
6	-60	-1
6	64	30
8	-40	5
8	-41	30
9	-43	2
9	-76	1
9	20	3
9	39	2
9	51	1
9	9	-80
-46	-62	50
-46	10	1
-46	39	-1
-47	-12	3
-47	-18	5
-48	-47	4
-48	-63	3
-48	6	10
-4	-31	-40
-4	-94	1
-51	23	80
-52	-15	-1
-52	-63	1
-52	28	1
-53	-37	1
-53	-3	3
-53	-50	3
-54	-22	2
-54	-22	90
-54	-9	25
