WDegree	Lobe	MOD
1	1	1
10	1	1
10	1	1
21	1	1
7	1	1
9	1	2
6	1	1
11	1	2
8	1	1
6	1	1
7	1	2
11	1	2
12	1	2
25	1	2
5	1	1
16	1	1
11	1	1
5	1	1
13	1	1
13	1	1
7	1	1
6	1	1
15	1	1
14	1	1
9	2	1
10	2	1
20	2	2
18	2	2
11	2	1
6	2	1
10	2	1
8	2	1
7	2	1
4	2	1
6	2	1
23	2	1
17	3	1
5	3	1
16	3	1
6	3	1
16	3	1
6	3	1
8	3	1
6	3	1
7	3	1
17	3	1
7	3	1
7	3	1
16	3	1
11	3	1
20	3	1
13	3	1
8	3	1
5	3	1
9	3	2
6	3	1
12	3	2
10	3	2
6	4	1
7	4	1
5	4	1
3	4	1
5	4	1
6	4	1
8	5	1
13	5	1
6	5	2
2	5	1
4	5	2
27	1	1
5	1	1
11	1	2
6	1	1
10	1	1
8	1	2
4	1	2
6	6	1
10	6	2
1	6	1
10	5	1
13	5	2
9	5	1
3	6	1
15	6	2
8	6	1
5	6	1
5	6	1
5	6	1
6	6	2
6	6	2
8	6	2
9	6	1
9	6	1
2	6	1
19	6	1
16	6	1
9	6	1
6	6	2
6	6	2
3	6	1
5	6	2
10	6	1
3	6	2
5	6	2
4	6	2
7	8	2
6	8	2
5	8	2
9	8	2
11	8	2
4	8	2
4	8	2
11	8	2
4	8	2
9	7	2
12	7	2
6	7	2
0	7	2
3	7	2
1	7	2
7	7	2
3	7	2
6	7	2
5	7	2
3	7	2
11	7	2
