strength	modules	clustering
21079	1.0|1.0|0.0|1.0	403.1693161
9849	0.0|1.0|0.0|0.0	340.3471793
56138	0.0|1.0|1.0|0.0	776.8825038
9618	0.0|1.0|0.0|0.0	339.4761527
16827	0.0|1.0|0.0|1.0	439.1443498
30949	0.0|1.0|0.0|1.0	482.5756117
29399	0.0|1.0|1.0|1.0	450.4519842
26371	0.0|1.0|1.0|1.0	445.2410413
21855	1.0|1.0|1.0|0.0	423.3490971
22134	1.0|1.0|0.0|0.0	461.3230576
43709	1.0|1.0|0.0|0.0	485.2234511
25174	0.0|1.0|1.0|0.0	438.6158875
2946	0.0|1.0|0.0|0.0	208.4541421
11522	0.0|1.0|0.0|1.0	292.4912256
96573	1.0|1.0|1.0|1.0	419.0319121
130838	1.0|1.0|1.0|1.0	383.2272354
40099	0.0|1.0|1.0|0.0	461.0359972
19495	0.0|1.0|0.0|0.0	266.9976235
27634	0.0|1.0|0.0|0.0	338.1262628
51002	1.0|1.0|0.0|0.0	333.2455669
17013	0.0|1.0|0.0|0.0	489.5641552
25757	1.0|1.0|0.0|0.0	266.9084029
22014	0.0|1.0|0.0|0.0	244.6388994
28559	0.0|1.0|0.0|1.0	244.4497744
38733	0.0|1.0|0.0|0.0	440.0916698
39229	0.0|1.0|1.0|0.0	347.4134456
56755	1.0|1.0|1.0|0.0	312.6434808
59154	0.0|1.0|1.0|0.0	648.885099
96673	0.0|1.0|1.0|0.0	887.7741057
68355	1.0|1.0|1.0|0.0	373.3465902
27792	0.0|1.0|0.0|1.0	342.5905699
8209	0.0|1.0|0.0|1.0	376.5948872
6245	0.0|1.0|0.0|0.0	349.8870014
32449	0.0|1.0|0.0|0.0	244.5594389
18787	0.0|1.0|0.0|0.0	329.680976
17042	0.0|1.0|0.0|0.0	479.6007749
22745	0.0|1.0|0.0|0.0	329.2030131
19492	0.0|1.0|0.0|0.0	312.5032242
2092	0.0|1.0|0.0|0.0	198.7126567
2504	0.0|1.0|0.0|0.0	629.3771668
29990	0.0|1.0|1.0|0.0	412.8355893
31061	1.0|1.0|0.0|0.0	269.3844339
26997	0.0|1.0|0.0|0.0	239.7717732
32072	1.0|1.0|0.0|0.0	351.6469278
68863	0.0|1.0|1.0|0.0	772.9777265
25625	0.0|1.0|1.0|0.0	602.9808141
9502	0.0|1.0|0.0|0.0	404.5612888
70755	0.0|1.0|0.0|0.0	381.6203019
24166	0.0|1.0|0.0|0.0	310.9583354
11938	0.0|1.0|0.0|0.0	334.6474462
3245	0.0|1.0|0.0|0.0	718.3376767
31943	1.0|1.0|1.0|1.0	463.3645045
20405	0.0|1.0|0.0|1.0	932.9579149
42066	0.0|1.0|1.0|1.0	563.2870486
7711	0.0|1.0|0.0|0.0	810.6160115
41951	0.0|1.0|0.0|0.0	344.9143715
14911	0.0|1.0|0.0|0.0	382.6111845
28803	0.0|1.0|0.0|0.0	302.3150522
16409	0.0|1.0|0.0|0.0	490.030714
9063	0.0|1.0|0.0|0.0	430.5499869
13040	0.0|1.0|0.0|0.0	286.8573222
7901	1.0|1.0|0.0|1.0	501.4912458
14455	0.0|1.0|0.0|1.0	271.077647
7992	0.0|1.0|0.0|1.0	345.3123197
46543	1.0|1.0|0.0|0.0	501.3843377
109313	1.0|1.0|1.0|1.0	312.5627663
51403	1.0|1.0|1.0|0.0	462.9046087
24574	0.0|1.0|1.0|0.0	516.7090133
32683	0.0|1.0|1.0|0.0	656.7045458
18233	0.0|1.0|0.0|1.0	409.6577827
17250	0.0|1.0|1.0|0.0	378.44696
35514	0.0|1.0|0.0|0.0	337.3013198
39857	0.0|1.0|0.0|0.0	329.7091499
9914	0.0|1.0|0.0|0.0	570.6589632
64678	0.0|1.0|0.0|0.0	313.0532049
172768	1.0|1.0|1.0|1.0	335.5898533
149602	1.0|1.0|1.0|1.0	449.6351208
33874	0.0|1.0|1.0|1.0	602.5321288
40591	1.0|1.0|1.0|0.0	275.166229
11971	0.0|1.0|0.0|0.0	277.1201515
15737	0.0|1.0|0.0|1.0	261.5975014
16273	1.0|0.0|0.0|1.0	393.645489
10287	1.0|0.0|0.0|0.0	418.543537
47587	1.0|1.0|1.0|0.0	814.7259653
20688	1.0|0.0|1.0|0.0	502.3857789
27283	1.0|0.0|0.0|1.0	401.077458
37732	0.0|0.0|0.0|1.0	440.7085592
28853	1.0|0.0|1.0|1.0	548.7403357
37575	1.0|0.0|1.0|1.0	647.6238958
31097	1.0|1.0|1.0|1.0	542.5004512
12168	1.0|0.0|0.0|1.0	517.2105642
41951	1.0|1.0|0.0|0.0	486.3072342
39064	1.0|0.0|1.0|1.0	500.0085738
12181	1.0|0.0|0.0|0.0	429.7033129
42814	1.0|0.0|1.0|1.0	530.6723636
119011	1.0|1.0|1.0|1.0	544.033801
144532	1.0|0.0|1.0|1.0	402.7718126
29306	1.0|0.0|1.0|1.0	296.8285281
13004	1.0|0.0|0.0|0.0	346.9914601
26222	1.0|0.0|0.0|0.0	299.5278137
54633	1.0|1.0|0.0|0.0	336.0305537
16448	1.0|0.0|0.0|0.0	542.0528661
34391	1.0|0.0|0.0|0.0	344.6893027
43271	1.0|0.0|0.0|1.0	323.4182977
66791	1.0|0.0|0.0|1.0	341.2425755
38403	1.0|0.0|0.0|0.0	298.6585238
39685	1.0|1.0|1.0|0.0	347.2392662
59164	1.0|1.0|1.0|1.0	284.9372152
62430	1.0|1.0|1.0|0.0	820.3157884
114588	1.0|0.0|1.0|0.0	942.8390314
82520	1.0|1.0|1.0|1.0	336.8691394
16124	1.0|0.0|0.0|1.0	442.6821739
13463	1.0|0.0|0.0|1.0	470.8683506
8226	1.0|0.0|0.0|0.0	461.276138
50174	1.0|0.0|0.0|1.0	380.6516571
24603	1.0|0.0|0.0|1.0	384.9325738
17714	1.0|0.0|1.0|0.0	421.5620738
19904	1.0|0.0|0.0|0.0	345.0674755
50333	1.0|0.0|0.0|0.0	331.9584827
15922	1.0|0.0|0.0|1.0	648.7938023
10026	1.0|0.0|0.0|1.0	1104.499973
25671	1.0|0.0|1.0|0.0	369.254484
30386	1.0|0.0|0.0|0.0	300.5461609
35869	1.0|0.0|0.0|1.0	393.1487697
57432	1.0|1.0|0.0|1.0	383.226962
61625	1.0|1.0|1.0|0.0	697.3919092
25771	0.0|1.0|1.0|1.0	607.1090281
12535	1.0|0.0|0.0|0.0	328.571285
37409	1.0|0.0|0.0|1.0	331.704422
33413	1.0|0.0|1.0|1.0	434.3378067
14608	1.0|0.0|0.0|0.0	438.8902392
5271	1.0|0.0|0.0|0.0	416.229196
54154	1.0|1.0|1.0|1.0	743.3451278
34042	1.0|0.0|0.0|1.0	858.2662004
39005	1.0|0.0|1.0|1.0	811.8945142
13451	1.0|0.0|0.0|0.0	658.920988
43357	1.0|1.0|1.0|0.0	270.1665104
7468	1.0|0.0|0.0|0.0	322.4993273
20509	1.0|0.0|0.0|0.0	287.8348817
3981	1.0|0.0|0.0|0.0	310.5261504
13654	1.0|0.0|0.0|0.0	442.9189433
17325	1.0|0.0|0.0|0.0	389.7688791
17743	1.0|0.0|0.0|1.0	711.6897556
27506	1.0|0.0|0.0|1.0	418.8547529
20873	1.0|0.0|0.0|1.0	407.0295255
53129	1.0|1.0|0.0|0.0	538.149425
147516	1.0|1.0|1.0|1.0	350.6474548
42005	1.0|1.0|1.0|0.0	382.8328621
44408	1.0|0.0|1.0|0.0	673.0955811
43504	0.0|0.0|1.0|0.0	976.5376252
5955	0.0|0.0|0.0|1.0	420.1437246
32281	1.0|1.0|1.0|1.0	617.0862935
15541	1.0|0.0|0.0|0.0	282.353813
45639	1.0|0.0|0.0|0.0	255.7259903
9010	1.0|0.0|0.0|0.0	587.4076117
94563	1.0|1.0|1.0|1.0	374.5940843
230814	1.0|1.0|1.0|1.0	432.4162418
138262	1.0|1.0|1.0|1.0	454.7918603
23645	1.0|0.0|1.0|1.0	395.4557604
36118	1.0|1.0|1.0|1.0	261.1402212
10464	1.0|0.0|0.0|1.0	529.1779348
21024	1.0|0.0|0.0|1.0	441.9566473
