nodes	side	localisation	order	degree
1	2	7	54	0
2	1	7	1	1
3	2	7	53	0
4	1	7	2	3
5	2	7	52	3
6	1	7	3	3
7	2	7	51	2
8	1	7	4	4
9	2	7	50	2
10	1	7	5	0
11	2	7	49	0
12	1	7	6	3
13	2	7	48	2
14	1	7	7	6
15	2	7	47	4
16	1	7	8	1
17	2	7	46	1
18	1	7	9	1
19	2	7	45	2
20	1	7	10	7
21	2	7	44	2
22	1	7	11	3
23	2	7	43	9
24	1	7	12	12
25	2	7	42	6
26	1	7	13	6
27	2	7	41	5
28	1	7	14	2
29	2	3	40	8
30	1	3	15	6
31	2	7	39	11
32	1	7	16	14
33	2	7	38	8
34	1	7	17	8
35	2	5	37	13
36	1	5	18	13
37	2	1	36	16
38	1	1	19	22
39	2	6	35	8
40	1	6	20	4
41	2	1	34	4
42	1	1	21	6
43	2	3	33	18
44	1	3	22	20
45	2	3	32	14
46	1	3	23	21
47	2	3	31	18
48	1	3	24	19
49	2	3	30	22
50	1	3	25	18
51	2	3	29	27
52	1	3	26	18
53	2	3	28	7
54	1	3	27	10
55	2	3	27	16
56	1	3	28	20
57	2	5	26	12
58	1	5	29	14
59	2	5	25	32
60	1	5	30	28
61	2	5	24	11
62	1	5	31	4
63	2	5	23	6
64	1	5	32	7
65	2	5	22	14
66	1	5	33	16
67	2	5	21	43
68	1	5	34	46
69	2	5	20	16
70	1	5	35	13
71	2	1	19	33
72	1	1	36	37
73	2	1	18	28
74	1	1	37	32
75	2	1	17	15
76	1	1	38	19
77	2	1	16	32
78	1	1	39	30
79	2	6	15	7
80	1	6	40	1
81	2	6	14	15
82	1	6	41	15
83	2	6	13	16
84	1	6	42	15
85	2	6	12	35
86	1	6	43	22
87	2	6	11	13
88	1	6	44	18
89	2	6	10	40
90	1	6	45	31
91	2	2	9	18
92	1	2	46	5
93	2	2	8	19
94	1	2	47	17
95	2	2	7	25
96	1	2	48	17
97	2	2	6	21
98	1	2	49	8
99	2	2	5	12
100	1	2	50	13
101	2	2	4	12
102	1	2	51	9
103	2	2	3	31
104	1	2	52	28
105	2	2	2	37
106	1	2	53	32
107	2	2	1	6
108	1	2	54	5
109	1.5	6	1	5
110	1.5	6	2	21
111	1.5	6	3	18
112	1.5	6	4	15
113	1.5	6	5	8
114	1.5	6	6	21
115	1.5	6	7	3
116	1.5	6	8	21
