neworder	side	orderRL	degree
116	2	15	0
1	1	1	1
115	2	15	1
2	1	1	2
114	2	15	3
3	1	1	4
113	2	15	4
4	1	1	3
112	2	15	2
5	1	1	2
111	2	15	3
6	1	1	1
110	2	15	6
7	1	1	5
109	2	15	7
8	1	1	4
108	2	15	3
9	1	1	2
107	2	15	9
10	1	1	6
106	2	15	3
11	1	1	3
105	2	15	10
12	1	1	13
104	2	15	7
13	1	1	4
103	2	15	5
14	1	1	4
102	2	14	9
15	1	2	8
101	2	15	13
16	1	1	13
100	2	15	8
17	1	1	8
99	2	12	17
18	1	4	16
98	2	10	25
19	1	6	24
97	2	13	10
20	1	3	9
96	2	10	6
21	1	6	7
95	2	11	24
22	1	5	24
94	2	11	28
23	1	5	24
93	2	11	27
24	1	5	27
92	2	11	30
25	1	5	26
91	2	11	32
26	1	5	22
90	2	11	16
27	1	5	16
89	2	11	14
28	1	5	33
88	2	12	19
29	1	4	16
87	2	12	38
30	1	4	30
86	2	12	16
31	1	4	4
85	2	12	8
32	1	4	15
84	2	12	17
33	1	4	19
83	2	12	47
34	1	4	51
82	2	12	23
35	1	4	19
81	2	10	46
36	1	6	45
80	2	10	39
37	1	6	43
79	2	10	19
38	1	6	20
78	2	10	39
39	1	6	43
77	2	13	6
40	1	3	1
76	2	13	15
41	1	3	26
75	2	13	19
42	1	3	20
74	2	13	43
43	1	3	35
73	2	13	16
44	1	3	26
72	2	13	49
45	1	3	48
71	2	9	26
46	1	7	25
70	2	9	24
47	1	7	26
69	2	9	31
48	1	7	30
68	2	9	30
49	1	7	19
67	2	9	21
50	1	7	20
66	2	9	21
51	1	7	16
65	2	9	35
52	1	7	37
64	2	9	44
53	1	7	42
63	2	9	9
54	1	7	7
55	1.5	8	11
56	1.5	8	31
57	1.5	8	27
58	1.5	8	19
59	1.5	8	12
60	1.5	8	25
61	1.5	8	15
62	1.5	8	34
