degree	clustering	betweenness	modules
0.234897018	0.011196289	0	1
0.352770949	0.006090143	86	1
0.351396554	0.006364157	1886	1
0.165291863	0.008049948	0	1
0.213574425	0.006369201	2186	1
0.291453657	0.008534386	0	1
0.238366344	0.009731763	0	1
0.361876134	0.009235923	0	1
0.206602965	0.011696506	0	1
0.15897786	0.007929932	0	1
0.235259651	0.006425303	54	1
0.19435867	0.007299183	0	1
0.443858088	0.008238348	58	1
0.247466309	0.007614508	194	1
0.207492853	0.007323872	0	1
0.097442153	0.009423088	0	1
0.265910398	0.007887092	0	1
0.389032419	0.00418364	9282	1
0.25624677	0.005003162	14514	1
0.261842548	0.007601826	2888	1
0.258206689	0.009114134	342	1
0.217287359	0.008657483	2	1
0.226192229	0.007576244	202	1
0.05096198	0.010343633	0	1
0.161918054	0.005101763	7538	1
0.314433272	0.005428307	2680	1
0.296054321	0.005850479	116	1
0.258239689	0.010518693	8	1
0.325428045	0.007274165	300	1
0.406762957	0.00759469	2036	1
0.548088207	0.006202206	522	1
0.370411594	0.011678595	0	1
0.405521928	0.007154824	1166	1
0.366054388	0.00637507	1296	1
0.572556366	0.007098516	4106	1
0.32600234	0.005969206	7122	1
0.275312405	0.006885405	416	1
0.250564191	0.007674957	4116	1
0.317807033	0.006125734	4458	1
0.496967081	0.01198912	0	1
0.371575739	0.004391283	14720	1
0.494051999	0.003336447	26876	1
0.51081577	0.005740938	2480	1
0.288234146	0.005248505	9604	1
0.334221873	0.003958696	14624	1
0.381899304	0.012626097	0	1
0.183926144	0.017737828	0	1
0.211326469	0.007278636	0	1
0.181839189	0.012283246	0	1
0.197675179	0.008488871	1948	1
0.186309798	0.0042431	1166	1
0.256184262	0.004913766	9162	1
0.38179477	0.00437506	7362	1
0.378279274	0.004375251	10206	1
0.409483733	0.013217841	204	1
0.705382882	0.010882068	0	1
0.471213923	0.008515511	0	1
0.533482109	0.003305534	61880	1
0.313214743	0.005768162	17796	1
0.334820118	0.006507373	844	1
0.295024583	0.009478658	0	1
0.292849717	0.007817453	534	1
0.252845677	0.00915033	1080	1
0.234492299	0.009593675	0	1
0.337408799	0.005161111	7472	1
0.341244982	0.005508132	40428	1
0.424570628	0.00646122	21892	1
0.33115508	0.009298407	1240	1
0.347365293	0.011359806	0	1
0.243068432	0.01142999	0	1
0.361916322	0.009561695	0	1
0.377227822	0.011047862	0	1
0.480697436	0.011193783	18	1
0.423179473	0.008236079	2954	1
0.454655954	0.014062124	0	1
0.417490445	0.008088287	3502	1
0.534615349	0.006365638	3576	1
0.477581836	0.009051473	172	1
0.451715851	0.007890906	7436	1
0.39052386	0.004971711	10882	1
0.45627662	0.004016983	39898	1
0.312413432	0.005503469	208	1
0.281600029	0.011622829	46	1
0.315742054	0.010760934	0	1
0.320612794	0.005256049	1968	1
0.296521541	0.005344394	4376	1
0.501933868	0.00586356	3722	1
0.515264177	0.006900071	0	1
0.45462869	0.006268678	298	1
0.399327149	0.008346729	0	1
0.303850059	0.007102997	332	1
0.353183005	0.005480501	1508	1
0.498561542	0.004217885	10908	1
0.379561834	0.007716232	716	1
0.2526885	0.007692613	48	1
0.374476401	0.009465436	0	1
0.273244465	0.006807548	1740	1
0.386000209	0.005713649	2120	1
0.37945578	0.005492697	120	6
0.589195447	0.008457246	0	6
0.370475257	0.005358981	522	6
0.351777955	0.006735418	3218	1
0.257588064	0.004732429	9080	1
0.191077005	0.006218144	1752	1
0.374617633	0.008747017	318	1
0.487543171	0.00847253	60	1
0.26885262	0.00740682	1230	1
0.308092218	0.004823108	18172	1
0.435833264	0.00621474	1564	6
0.477949431	0.005383932	14012	6
0.518725106	0.005977477	1424	6
0.522354685	0.006689673	166	6
0.299853949	0.007636217	2038	6
0.42266925	0.004588848	10524	6
0.351023664	0.004097707	6932	1
0.38708695	0.006071977	8256	2
0.579426755	0.010159076	0	2
0.237427475	0.00388414	17806	2
0.234433376	0.003740343	5852	6
0.387277552	0.004192199	31926	2
0.316042586	0.006891055	168	2
0.207405234	0.008936797	0	6
0.475284873	0.009297734	14	6
0.646570135	0.00810467	1428	6
0.282953747	0.007738819	20	6
0.448972652	0.011252977	0	1
0.378953831	0.008648467	100	1
0.254806922	0.004866149	13498	1
0.434380918	0.010028521	0	1
0.804995969	0.012775732	0	1
0.539801059	0.010785364	998	1
0.598253535	0.010550703	0	1
0.670984721	0.007876757	690	1
0.404531832	0.007346309	2068	2
0.477942879	0.005101899	4160	2
0.547384311	0.007388155	4634	1
0.595187054	0.007792952	200	2
0.650498092	0.006456088	30	2
0.178103336	0.012204015	0	1
0.171697576	0.007996001	0	1
0.279035337	0.004267307	4024	1
0.415344288	0.008797576	0	4
0.374352552	0.007048607	5904	2
0.437096132	0.004479135	4296	1
0.444426717	0.004787818	15774	1
0.489125219	0.006883363	6512	1
0.441410331	0.005842653	2452	2
0.427547135	0.010241146	248	2
0.544905156	0.012558641	0	2
0.52915703	0.008145372	116	2
0.658040999	0.00534082	17518	1
0.422617465	0.011682061	0	2
0.429893156	0.008036177	132	2
0.491025324	0.011919956	1948	2
0.544986813	0.010946054	2	2
0.55923609	0.014772844	0	2
0.538056476	0.009778435	0	2
0.502218707	0.007846104	1762	2
0.764880787	0.007398047	8	2
0.529486205	0.009554973	0	2
0.565555829	0.014164979	0	2
0.438863068	0.00814124	1398	2
0.492623884	0.009224803	0	2
0.683216349	0.011697382	0	2
0.709560098	0.010247867	0	2
0.541040313	0.010900248	8	2
0.477148963	0.006312508	20506	2
0.46542165	0.008919325	4	2
0.263135311	0.006224231	2072	2
0.296118926	0.010513762	98	2
0.36680016	0.010046015	0	2
0.320591194	0.015307587	0	6
0.162337856	0.007506293	1386	6
0.331253793	0.007830654	8538	6
0.38474251	0.010505174	48	6
0.486308279	0.009182245	1464	6
0.885761727	0.011764751	148	6
0.939324866	0.008121125	264	6
0.748159547	0.007149885	78	6
0.725458503	0.008984903	50	6
0.607036864	0.010046872	0	6
0.601825675	0.010299461	2106	6
0.800776362	0.006246734	3502	6
0.849299659	0.00671491	1936	6
0.929725557	0.006352911	2968	6
0.421531822	0.007995858	2226	6
0.532974254	0.006243079	7508	1
0.299283995	0.00715312	1504	1
0.369098402	0.010396489	0	1
0.28433506	0.005557313	4084	1
0.2899512	0.004966211	7304	6
0.446561818	0.00589309	4026	6
0.557410889	0.006718002	1102	6
0.439367571	0.005739342	284	6
0.684699405	0.005721006	744	6
0.725154002	0.006875197	4534	6
0.612807742	0.00625322	1628	6
0.599413371	0.008117622	40	6
0.682692356	0.008409772	76	6
0.847270128	0.007222395	7632	6
0.721823536	0.008549531	166	6
0.669868944	0.010806771	2	6
0.737288181	0.007601075	0	9
0.623921076	0.007357228	3040	9
0.858214976	0.006699816	476	9
0.476890832	0.009725993	24	9
0.246129776	0.006465158	2840	3
0.417604302	0.008912471	1562	3
0.319137621	0.005795678	4788	3
0.281907862	0.010170995	52	4
0.133744008	0.018157308	0	4
0.367933004	0.010691133	0	4
0.522351304	0.009189825	1926	4
0.426993648	0.00926482	698	2
0.338561733	0.010496722	6	2
0.527519864	0.011266511	48	2
0.530265032	0.012708322	60	2
0.595185346	0.013364088	14	2
0.593053696	0.011676269	470	2
0.487542378	0.010401137	854	4
0.548028219	0.010005532	0	2
0.719892098	0.009533984	0	2
0.744167052	0.011596072	0	2
0.632098286	0.00979017	48	2
0.635460794	0.006999723	8936	2
0.421325151	0.008933822	526	2
0.656076705	0.009690222	2688	2
0.69638741	0.009105045	8	2
0.570246742	0.009061313	258	2
0.628942571	0.00863806	10	2
0.662721375	0.012585126	212	2
0.445603964	0.013391191	0	2
0.582961811	0.007348956	2368	2
0.83473531	0.008307646	4758	2
0.554067914	0.007501593	6126	2
0.312077604	0.008564581	700	2
0.376817494	0.009517321	710	2
0.356365026	0.008675201	2068	2
0.454481803	0.012009317	20	6
0.553572258	0.007614565	27034	6
0.571430402	0.009936719	52	4
0.43993281	0.009203409	2796	4
0.579560353	0.006376598	3512	4
0.509412961	0.009757899	0	4
0.498289229	0.008515771	1332	4
0.537348797	0.009029571	740	4
0.476044514	0.007569145	3728	4
0.386246244	0.010163251	6302	4
0.482289135	0.009050317	330	4
0.516997441	0.007703723	3568	4
0.447791767	0.005634491	7818	2
0.448876697	0.005901108	9778	2
0.639059228	0.006430088	4930	2
0.6249488	0.007281992	10538	2
0.647618553	0.008033817	22	2
0.63790536	0.007516592	0	2
0.744927766	0.009013711	0	2
0.517635533	0.009881561	0	2
0.749496303	0.008922765	10728	6
0.782127816	0.0074906	6320	6
0.446632156	0.01181092	24	6
0.455694154	0.007615816	6630	2
0.66308279	0.008437371	1668	2
0.468563343	0.015615198	0	2
0.503263555	0.009485672	0	3
0.524321508	0.007202534	5208	3
0.611636776	0.007796129	2010	6
0.507611379	0.007574435	16428	3
0.559628536	0.006365862	24732	3
0.587840916	0.013133677	0	3
0.65131279	0.015080788	0	3
