nodes	side	localisation
1	2	1
2	1	7
3	2	1
4	1	7
5	2	1
6	1	7
7	2	1
8	1	7
9	2	1
10	1	7
11	2	1
12	1	7
13	2	1
14	1	7
15	2	1
16	1	7
17	2	1
18	1	7
19	2	1
20	1	7
21	2	1
22	1	7
23	2	1
24	1	7
25	2	1
26	1	7
27	2	1
28	1	7
29	2	5
30	1	3
31	2	1
32	1	7
33	2	1
34	1	7
35	2	3
36	1	5
37	2	7
38	1	1
39	2	2
40	1	6
41	2	7
42	1	1
43	2	4
44	1	3
45	2	4
46	1	3
47	2	4
48	1	3
49	2	4
50	1	3
51	2	4
52	1	3
53	2	4
54	1	3
55	2	4
56	1	3
57	2	3
58	1	5
59	2	3
60	1	5
61	2	3
62	1	5
63	2	3
64	1	5
65	2	3
66	1	5
67	2	3
68	1	5
69	2	3
70	1	5
71	2	7
72	1	1
73	2	7
74	1	1
75	2	7
76	1	1
77	2	7
78	1	1
79	2	2
80	1	6
81	2	2
82	1	6
83	2	2
84	1	6
85	2	2
86	1	6
87	2	2
88	1	6
89	2	2
90	1	6
91	2	6
92	1	2
93	2	6
94	1	2
95	2	6
96	1	2
97	2	6
98	1	2
99	2	6
100	1	2
101	2	6
102	1	2
103	2	6
104	1	2
105	2	6
106	1	2
107	2	6
108	1	2
109	1.5	6
110	1.5	6
111	1.5	6
112	1.5	6
113	1.5	6
114	1.5	6
115	1.5	6
116	1.5	6
