lobes_discrete	stg
2	17.12018656
2	18.35435872
3	32.39758664
3	33.78429572
4	39.55603392
4	40.08626424
5	41.63029092
5	41.69000584
1	19.5427432
1	33.82111876
1	36.47826748
1	41.33926068
3	35.42506096
3	38.05037848
4	41.60593868
4	39.57215136
1	39.17242552
1	41.41266436
1	34.16385052
1	34.19030528
1	39.94964976
1	40.1478046
1	24.59532328
1	28.71025244
1	42.45046408
1	34.56997104
1	36.18624188
1	43.21248356
1	39.32283724
1	38.24163412
1	37.73765848
1	36.2071274
1	38.45784688
1	43.9373614
2	28.71294468
2	34.11565344
2	24.87920068
2	26.8127958
2	35.87175444
2	32.28234396
4	27.27799804
4	31.1202236
4	38.5995318
4	38.21599372
4	40.55082912
4	40.06093156
1	27.58385976
1	27.68074272
5	32.10591608
5	33.2961128
1	34.53944232
1	37.98482892
3	39.87300688
3	37.246883
3	41.38731196
3	40.0531496
3	41.33809636
3	40.3959324
1	43.59968648
1	41.93912008
3	43.92327128
3	44.26590812
5	36.82900236
5	36.83471256
2	35.92882132
2	39.0383152
1	38.628451
1	39.25823664
3	38.40934204
3	36.2044892
2	38.48971024
2	42.5222272
2	15.16303364
2	20.76148384
2	39.78347712
2	41.4570848
5	40.62369596
5	40.89753624
