degree	newman-mod	division	
67	4	1	
66	5	1	
59	5	1	
21	5	1	
34	1	1	
32	1	1	
30	1	1	
23	1	1	
51	3	1	
53	3	1	
23	3	1	
20	3	1	
47	3	1	
30	3	1	
40	3	1	
35	4	1	
42	4	1	
26	4	1	
39	4	1	
11	4	1	
12	4	1	
36	4	1	
14	3	1	
50	1	1	
23	1	1	
26	1	1	
13	5	1	
40	5	1	
18	5	1	
26	4	1	
67	1	1	
24	1	1	
76	3	1	
78	3	1	
17	4	1	
37	4	1	
48	4	1	
43	3	1	
16	1	1	
15	1	1	
5	1	1	
28	1	1	
39	1	1	
15	1	1	
37	1	1	
24	1	1	
41	1	1	
17	1	1	
42	1	1	
10	5	1	
14	5	1	
21	5	1	
55	5	1	
49	5	1	
11	5	1	
11	5	1	
80	1	1	
31	5	1	
27	5	1	
11	5	1	
28	1	1	
41	1	1	
40	1	1	
57	1	1	
40	5	1	
18	1	1	
20	1	1	
22	1	1	
26	1	1	
6	5	1	
30	5	1	
11	5	1	
11	5	1	
37	5	1	
32	2	1	
31	3	1	
21	1	1	
16	1	1	
22	1	1	
26	1	1	
31	1	1	
45	5	1	
36	5	1	
22	5	1	
71	5	1	
22	3	1	
35	3	1	
34	5	2	
22	1	2	
16	5	2	
18	5	2	
26	5	2	
22	4	2	
37	4	2	
31	5	2	
13	5	2	
24	3	2	
22	4	2	
19	5	2	
48	3	2	
24	1	2	
23	1	2	
25	5	2	
50	3	2	
10	5	2	
17	3	2	
13	3	2	
27	3	2	
18	3	2	
56	3	2	
20	3	2	
14	3	2	
14	3	2	
14	3	2	
25	3	2	
18	4	2	
55	4	2	
22	4	2	
15	4	2	
17	4	2	
19	5	2	
15	5	2	
30	5	2	
28	5	2	
20	5	2	
13	5	2	
43	5	2	
91	5	2	
21	5	2	
56	5	2	
20	5	2	
17	5	2	
77	3	2	
38	5	2	
14	5	2	
30	5	2	
43	5	2	
10	5	2	
41	5	2	
38	5	2	
16	5	2	
27	5	2	
55	2	2	
23	3	2	
30	3	2	
31	3	2	
59	3	2	
23	4	2	
20	3	2	
21	3	2	
21	5	2	
38	5	2	
31	5	2	
21	4	2	
44	4	2	
25	3	2	
34	5	2	
56	2	2	
13	4	2	
18	4	2	
44	4	2	
31	2	2	
24	2	2	
47	2	2	
23	2	2	
5	4	2	
20	2	2	
35	2	2	
32	5	2	
24	4	2	
11	2	2	
32	5	2	
31	2	2	
48	2	2	
26	3	2	
49	2	2	
19	2	2	
23	2	2	
13	2	2	
16	2	2	
28	2	2	
28	2	2	
24	2	2	
25	2	2	
11	2	2	
31	2	2	
25	2	2	
30	2	2	
29	2	2	
27	2	2	
41	2	2	
33	2	2	
31	2	2	
14	2	2	
16	2	2	
24	2	2	
16	2	2	
44	2	2	
35	2	2	
12	2	2	
15	2	2	
11	2	3	
8	2	3	
14	2	3	
15	2	3	
9	2	3	
13	2	3	
7	2	3	
8	2	3	
17	2	3	
19	2	3	
17	2	3	
24	2	3	
