degree	clustering	betweenness	module
0.2364	0.0039	24	4
0.7877	0.0072	202	2
0.3697	0.0043	28	1
0.4331	0.0045	190	1
0.5957	0.0052	136	1
0.6438	0.0044	106	1
0.6949	0.0047	542	1
0.5882	0.0036	148	4
0.9253	0.0062	348	1
0.661	0.0052	76	1
0.5847	0.0055	164	1
0.4381	0.0041	186	4
0.537	0.0053	402	1
0.4915	0.0064	18	1
0.4519	0.0062	0	4
0.5598	0.0074	54	2
0.4029	0.0066	8	2
0.5804	0.0069	0	2
0.3881	0.0051	12	1
1.0211	0.0067	162	1
0.3715	0.003	34	4
1.3027	0.0075	182	1
0.6162	0.0037	162	4
0.1782	0.0029	392	4
0.8238	0.006	374	2
1.023	0.0058	890	2
1.3721	0.0065	72	1
0.5966	0.0043	366	1
0.5812	0.0045	642	1
0.247	0.0045	0	2
0.4111	0.0068	0	1
0.0687	0.0042	8	1
0.8253	0.0047	112	1
1.7598	0.0068	26	1
1.8939	0.0089	0	2
1.7221	0.0064	0	1
0.7763	0.006	178	1
1.2227	0.0067	116	1
0.3386	0.0039	0	1
0.2139	0.003	250	4
0.2887	0.003	98	4
0.6628	0.0068	122	2
0.507	0.0052	0	3
0.4091	0.0061	168	3
0.6353	0.0046	624	3
0.6025	0.0035	1220	3
0.6161	0.0046	174	3
0.8385	0.0049	18	4
0.8576	0.006	1324	3
0.5403	0.004	824	2
0.6596	0.0068	78	3
0.5654	0.0052	76	2
0.4706	0.0047	308	3
0.4451	0.0059	162	3
0.6324	0.0072	240	4
0.4808	0.0073	22	2
0.5031	0.0064	0	2
0.5062	0.007	52	2
0.5892	0.0067	0	3
0.9671	0.0072	148	3
0.458	0.004	76	4
1.1632	0.0066	780	2
0.7881	0.0045	52	4
0.2908	0.0033	6	4
0.7631	0.0057	316	2
1.067	0.006	4	2
1.3887	0.0066	94	3
0.5691	0.0045	68	3
0.4691	0.0046	200	3
0.4172	0.0048	36	2
0.4417	0.0077	0	3
0.0856	0.005	4	3
0.6536	0.0041	278	3
1.981	0.0074	56	2
1.9169	0.0083	2	2
1.7221	0.0071	4	3
0.5688	0.0048	92	3
1.0652	0.0059	0	3
0.4294	0.0049	14	3
0.2109	0.0037	2	2
