degree	newman-mod	division	
67	4	1	
66	5	1	
59	5	1	
21	5	1	
34	1	1	
32	1	1	
30	1	1	
23	1	1	
51	3	1	
53	3	1	
23	3	1	
20	3	1	
47	3	1	
30	3	1	
40	3	1	
35	4	1	
42	4	1	
26	4	1	
39	4	1	
11	4	1	
12	4	1	
36	4	1	
14	3	1	
50	1	1	
23	1	1	
26	1	1	
13	5	1	
40	5	1	
18	5	1	
26	4	1	
67	1	1	
24	1	1	
76	3	1	
78	3	1	
17	4	1	
37	4	1	
48	4	1	
43	3	1	
16	1	2	
15	1	2	
5	1	2	
28	1	2	
39	1	2	
15	1	2	
37	1	2	
24	1	2	
41	1	2	
17	1	2	
42	1	2	
10	5	3	
14	5	3	
21	5	3	
55	5	3	
49	5	3	
11	5	3	
11	5	3	
80	1	3	
31	5	3	
27	5	3	
11	5	3	
28	1	4	
41	1	4	
40	1	4	
57	1	4	
40	5	4	
18	1	4	
20	1	4	
22	1	5	
26	1	5	
6	5	5	
30	5	5	
11	5	5	
11	5	5	
37	5	5	
32	2	5	
31	3	5	
21	1	5	
16	1	5	
22	1	5	
26	1	6	
31	1	6	
45	5	6	
36	5	6	
22	5	6	
71	5	6	
22	3	6	
35	3	6	
34	5	7	
22	1	7	
16	5	7	
18	5	7	
26	5	7	
22	4	7	
37	4	7	
31	5	7	
13	5	7	
24	3	7	
22	4	7	
19	5	7	
48	3	7	
24	1	7	
23	1	7	
25	5	7	
50	3	7	
10	5	7	
17	3	7	
13	3	7	
27	3	7	
18	3	7	
56	3	7	
20	3	7	
14	3	7	
14	3	7	
14	3	7	
25	3	7	
18	4	7	
55	4	7	
22	4	7	
15	4	7	
17	4	7	
19	5	7	
15	5	7	
30	5	8	
28	5	8	
20	5	8	
13	5	8	
43	5	8	
91	5	8	
21	5	8	
56	5	8	
20	5	8	
17	5	8	
77	3	8	
38	5	8	
14	5	8	
30	5	8	
43	5	8	
10	5	8	
41	5	8	
38	5	8	
16	5	8	
27	5	9	
55	2	9	
23	3	9	
30	3	9	
31	3	9	
59	3	9	
23	4	9	
20	3	9	
21	3	9	
21	5	9	
38	5	9	
31	5	9	
21	4	9	
44	4	9	
25	3	9	
34	5	9	
56	2	9	
13	4	9	
18	4	9	
44	4	9	
31	2	9	
24	2	9	
47	2	10	
23	2	10	
5	4	10	
20	2	10	
35	2	10	
32	5	10	
24	4	10	
11	2	10	
32	5	10	
31	2	10	
48	2	10	
26	3	10	
49	2	10	
19	2	11	
23	2	11	
13	2	11	
16	2	11	
28	2	11	
28	2	11	
24	2	11	
25	2	11	
11	2	11	
31	2	11	
25	2	11	
30	2	11	
29	2	11	
27	2	11	
41	2	11	
33	2	11	
31	2	11	
14	2	11	
16	2	11	
24	2	11	
16	2	11	
44	2	11	
35	2	11	
12	2	11	
15	2	11	
11	2	12	
8	2	12	
14	2	12	
15	2	12	
9	2	12	
13	2	12	
7	2	12	
8	2	12	
17	2	12	
19	2	13	
17	2	13	
24	2	13	
