x	y	z
26	8	32
6	32	24
22	19	21
39	6	16
4	16	24
18	3	20
32	37	23
7	40	35
28	28	28
18	10	2
33	28	37
23	4	11
32	39	23
11	27	25
22	5	33
26	4	22
8	2	2
8	23	34
7	34	39
40	31	34
11	40	17
15	25	21
20	15	27
13	1	28
29	10	32
19	28	36
26	18	10
9	7	33
16	22	31
7	24	40
24	33	5
12	19	29
4	37	27
11	35	8
34	21	15
31	22	16
15	28	24
24	28	8
14	8	7
18	19	37
11	25	15
18	38	3
2	7	8
4	35	21
14	11	16
9	23	37
30	5	10
20	21	10
3	4	1
16	15	19
11	27	28
31	2	29
36	27	19
35	36	4
9	19	26
18	35	26
1	31	6
32	18	9
17	25	27
25	29	14
39	10	12
16	19	17
28	2	35
19	25	13
18	1	31
10	25	22
7	8	32
26	21	32
1	20	38
1	29	5
17	28	35
13	30	34
14	18	12
10	14	10
17	22	20
2	35	8
38	37	37
2	26	13
22	21	5
21	22	18
4	7	22
10	6	2
16	24	23
17	25	24
31	26	12
35	3	17
38	3	20
5	25	25
8	17	34
5	18	36
19	4	20
9	17	11
12	5	7
14	40	25
25	29	35
27	19	36
40	5	7
17	31	24
34	39	34
8	35	33
16	36	32
23	7	36
39	12	17
2	35	34
3	19	26
37	40	9
28	12	16
35	15	29
31	30	2
39	22	12
16	23	25
17	3	5
11	4	15
20	8	21
1	36	13
36	27	36
14	25	29
8	3	5
12	21	40
39	13	38
26	10	32
12	32	25
13	36	39
18	3	5
36	23	36
14	7	31
15	40	28
32	22	29
27	22	25
1	29	6
4	33	23
10	35	14
11	25	28
5	1	14
20	9	14
19	3	9
22	21	15
38	36	18
3	24	19
4	26	11
33	6	36
21	30	3
16	12	18
5	35	36
27	33	37
11	20	7
21	39	24
2	22	18
39	9	39
38	8	32
21	1	39
26	14	10
34	34	3
36	11	10
3	27	32
3	7	39
8	12	9
22	15	36
22	26	38
11	23	8
9	21	25
30	3	35
17	32	13
21	2	7
29	28	29
40	36	24
7	15	19
19	25	19
20	28	5
17	32	1
20	26	37
40	28	7
4	33	34
1	16	20
40	2	13
39	5	6
32	22	27
3	34	37
17	22	14
15	37	9
40	4	23
38	35	22
1	35	16
19	36	4
36	3	17
6	14	26
10	10	6
6	34	28
29	6	34
14	36	35
5	8	25
9	34	33
35	9	30
32	27	29
8	9	38
16	3	8
11	18	37
24	13	37
27	24	29
4	10	15
16	30	29
10	9	8
38	1	38
15	1	10
12	38	25
4	2	2
26	22	32
20	8	12
11	7	15
30	28	7
38	27	18
39	32	34
34	21	37
