degree	louvain-mod	newman-mod	
54	4	4	
55	4	5	
51	1	5	
21	4	5	
29	4	1	
28	2	1	
25	2	1	
19	4	1	
42	4	3	
48	4	3	
18	4	3	
16	4	3	
41	4	3	
23	4	3	
32	4	3	
29	4	4	
35	4	4	
20	4	4	
28	4	4	
10	4	4	
11	4	4	
29	4	4	
14	4	3	
45	4	1	
19	4	1	
22	4	1	
12	1	5	
32	1	5	
16	1	5	
22	4	4	
57	2	1	
21	4	1	
67	4	3	
66	4	3	
14	4	4	
30	4	4	
36	4	4	
37	4	3	
14	2	1	
14	2	1	
5	2	1	
22	2	1	
32	2	1	
14	2	1	
30	2	1	
17	2	1	
30	2	1	
17	2	1	
32	2	1	
8	1	5	
11	1	5	
17	1	5	
49	1	5	
42	1	5	
8	1	5	
10	1	5	
66	2	1	
27	1	5	
23	1	5	
11	1	5	
21	2	1	
40	2	1	
32	2	1	
51	4	1	
32	1	5	
16	2	1	
15	2	1	
20	2	1	
26	2	1	
6	1	5	
27	1	5	
11	1	5	
11	1	5	
31	1	5	
31	2	2	
29	4	3	
19	2	1	
16	2	1	
21	2	1	
23	2	1	
27	2	1	
37	1	5	
29	1	5	
19	1	5	
54	1	5	
19	4	3	
31	4	3	
28	1	5	
21	4	1	
15	1	5	
17	1	5	
22	1	5	
17	4	4	
33	4	4	
29	1	5	
13	1	5	
24	4	3	
18	4	4	
14	1	5	
42	4	3	
19	4	1	
21	4	1	
24	1	5	
46	4	3	
10	1	5	
16	4	3	
12	4	3	
27	4	3	
16	4	3	
50	4	3	
17	4	3	
12	4	3	
10	4	3	
14	4	3	
19	4	3	
18	4	4	
47	4	4	
18	4	4	
12	4	4	
17	4	4	
16	4	5	
14	1	5	
22	1	5	
22	1	5	
17	1	5	
10	1	5	
39	1	5	
80	1	5	
15	1	5	
46	1	5	
18	1	5	
15	1	5	
72	4	3	
34	1	5	
13	1	5	
26	1	5	
38	1	5	
9	1	5	
34	1	5	
30	1	5	
15	1	5	
25	1	5	
50	3	2	
22	4	3	
28	4	3	
28	4	3	
52	4	3	
18	4	4	
17	4	3	
19	4	3	
20	1	5	
33	1	5	
27	1	5	
18	4	4	
39	4	4	
23	4	3	
33	1	5	
46	1	2	
11	4	4	
14	4	4	
38	4	4	
30	1	2	
19	1	2	
40	3	2	
21	3	2	
5	4	4	
20	3	2	
35	3	2	
27	1	5	
17	4	4	
11	3	2	
29	1	5	
30	3	2	
43	3	2	
26	4	3	
42	3	2	
19	3	2	
18	3	2	
12	3	2	
15	3	2	
23	3	2	
23	3	2	
19	3	2	
22	3	2	
11	3	2	
25	3	2	
19	3	2	
28	3	2	
27	3	2	
21	3	2	
33	3	2	
28	3	2	
24	3	2	
10	3	2	
12	3	2	
23	3	2	
16	3	2	
36	3	2	
28	3	2	
11	3	2	
14	3	2	
10	3	2	
7	3	2	
13	3	2	
14	3	2	
8	3	2	
12	3	2	
7	3	2	
7	3	2	
16	3	2	
17	3	2	
15	3	2	
19	3	2	
