nodes	side	orderRL	neworder	degree
1	2	15	116	0
2	1	1	1	1
3	2	15	115	1
4	1	1	2	2
5	2	15	114	3
6	1	1	3	4
7	2	15	113	4
8	1	1	4	3
9	2	15	112	2
10	1	1	5	2
11	2	15	111	3
12	1	1	6	1
13	2	15	110	6
14	1	1	7	5
15	2	15	109	7
16	1	1	8	4
17	2	15	108	3
18	1	1	9	2
19	2	15	107	9
20	1	1	10	6
21	2	15	106	3
22	1	1	11	3
23	2	15	105	10
24	1	1	12	13
25	2	15	104	7
26	1	1	13	4
27	2	15	103	5
28	1	1	14	4
29	2	14	102	9
30	1	2	15	8
31	2	15	101	13
32	1	1	16	13
33	2	15	100	8
34	1	1	17	8
35	2	12	99	17
36	1	4	18	16
37	2	10	98	25
38	1	6	19	24
39	2	13	97	10
40	1	3	20	9
41	2	10	96	6
42	1	6	21	7
43	2	11	95	24
44	1	5	22	24
45	2	11	94	28
46	1	5	23	24
47	2	11	93	27
48	1	5	24	27
49	2	11	92	30
50	1	5	25	26
51	2	11	91	32
52	1	5	26	22
53	2	11	90	16
54	1	5	27	16
55	2	11	89	14
56	1	5	28	33
57	2	12	88	19
58	1	4	29	16
59	2	12	87	38
60	1	4	30	30
61	2	12	86	16
62	1	4	31	4
63	2	12	85	8
64	1	4	32	15
65	2	12	84	17
66	1	4	33	19
67	2	12	83	47
68	1	4	34	51
69	2	12	82	23
70	1	4	35	19
71	2	10	81	46
72	1	6	36	45
73	2	10	80	39
74	1	6	37	43
75	2	10	79	19
76	1	6	38	20
77	2	10	78	39
78	1	6	39	43
79	2	13	77	6
80	1	3	40	1
81	2	13	76	15
82	1	3	41	26
83	2	13	75	19
84	1	3	42	20
85	2	13	74	43
86	1	3	43	35
87	2	13	73	16
88	1	3	44	26
89	2	13	72	49
90	1	3	45	48
91	2	9	71	26
92	1	7	46	25
93	2	9	70	24
94	1	7	47	26
95	2	9	69	31
96	1	7	48	30
97	2	9	68	30
98	1	7	49	19
99	2	9	67	21
100	1	7	50	20
101	2	9	66	21
102	1	7	51	16
103	2	9	65	35
104	1	7	52	37
105	2	9	64	44
106	1	7	53	42
107	2	9	63	9
108	1	7	54	7
109	1.5	8	55	11
110	1.5	8	56	31
111	1.5	8	57	27
112	1.5	8	58	19
113	1.5	8	59	12
114	1.5	8	60	25
115	1.5	8	61	15
116	1.5	8	62	34
