38,34,-18
-38,34,-18
0,32,-12
0,16,32
22,-4,-12
-22,-4,-12
14,-4,-20
-14,-4,-20
28,-4,-22
-28,-4,-22
-0.53,18.99,45.09
1.08,-31.07,-8.25
-41.97,29.12,17.9
-31.4,24.09,-1.95
-46.38,-59.1,-6.91
-24.15,2.51,53.85
-41.74,6.76,31.31
-26.74,-94.78,0.77
-21.8,-61.71,55.68
-33.82,-41.96,49.45
-42.04,-72.06,-7.95
44.11,15.88,-13.63
38.85,21.25,-1.75
44.38,-67.5,-9.87
29.94,-60.23,45.69
33.77,-96.69,-0.08
29.83,4.62,50.48
36.52,3.97,66.12
32,-65.31,37.19
30.11,-61.11,59.22
50,-46,24
58,-62,28
-36,-84,-14
-42,-70,-20
-10,-20,4
2,2,-4
16,-16,0
12,-2,-6
4,46,28
-8,40,0
18,48,32
