nodes	side	localisation	orderLR	orderRL	order	degree
1	2	7	1	15	1	0
2	1	7	15	1	16	1
3	2	7	1	15	2	1
4	1	7	15	1	15	2
5	2	7	1	15	3	3
6	1	7	15	1	14	4
7	2	7	1	15	4	4
8	1	7	15	1	13	3
9	2	7	1	15	5	2
10	1	7	15	1	12	2
11	2	7	1	15	6	3
12	1	7	15	1	11	1
13	2	7	1	15	7	6
14	1	7	15	1	10	5
15	2	7	1	15	8	7
16	1	7	15	1	9	4
17	2	7	1	15	9	3
18	1	7	15	1	8	2
19	2	7	1	15	10	9
20	1	7	15	1	7	6
21	2	7	1	15	11	3
22	1	7	15	1	6	3
23	2	7	1	15	12	10
24	1	7	15	1	5	13
25	2	7	1	15	13	7
26	1	7	15	1	4	4
27	2	7	1	15	14	5
28	1	7	15	1	3	4
29	2	3	2	14	1	9
30	1	3	14	2	1	8
31	2	7	1	15	15	13
32	1	7	15	1	2	13
33	2	7	1	15	16	8
34	1	7	15	1	1	8
35	2	5	4	12	1	17
36	1	5	12	4	8	16
37	2	1	6	10	1	25
38	1	1	10	6	6	24
39	2	6	3	13	1	10
40	1	6	13	3	7	9
41	2	1	6	10	3	6
42	1	1	10	6	6	7
43	2	3	5	11	1	24
44	1	3	11	5	7	24
45	2	3	5	11	2	28
46	1	3	11	5	6	24
47	2	3	5	11	3	27
48	1	3	11	5	5	27
49	2	3	5	11	4	30
50	1	3	11	5	4	26
51	2	3	5	11	5	32
52	1	3	11	5	3	22
53	2	3	5	11	6	16
54	1	3	11	5	2	16
55	2	3	5	11	7	14
56	1	3	11	5	1	33
57	2	5	4	12	2	19
58	1	5	12	4	7	16
59	2	5	4	12	3	38
60	1	5	12	4	7	30
61	2	5	4	12	4	16
62	1	5	12	4	6	4
63	2	5	4	12	5	8
64	1	5	12	4	5	15
65	2	5	4	12	6	17
66	1	5	12	4	4	19
67	2	5	4	12	7	47
68	1	5	12	4	3	51
69	2	5	4	12	8	23
70	1	5	12	4	2	19
71	2	1	6	10	2	46
72	1	1	10	6	5	45
73	2	1	6	10	3	39
74	1	1	10	6	4	43
75	2	1	6	10	4	19
76	1	1	10	6	3	20
77	2	1	6	10	5	39
78	1	1	10	6	3	43
79	2	6	3	13	2	6
80	1	6	13	3	2	1
81	2	6	3	13	2	15
82	1	6	13	3	6	26
83	2	6	3	13	3	19
84	1	6	13	3	5	20
85	2	6	3	13	4	43
86	1	6	13	3	4	35
87	2	6	3	13	5	16
88	1	6	13	3	3	26
89	2	6	3	13	6	49
90	1	6	13	3	2	48
91	2	2	7	9	1	26
92	1	2	9	7	1	25
93	2	2	7	9	2	24
94	1	2	9	7	2	26
95	2	2	7	9	3	31
96	1	2	9	7	3	30
97	2	2	7	9	4	30
98	1	2	9	7	4	19
99	2	2	7	9	5	21
100	1	2	9	7	5	20
101	2	2	7	9	6	21
102	1	2	9	7	6	16
103	2	2	7	9	7	35
104	1	2	9	7	7	37
105	2	2	7	9	8	44
106	1	2	9	7	8	42
107	2	2	7	9	9	9
108	1	2	9	7	9	7
109	1.5	6	8	8	1	11
110	1.5	6	8	8	1	31
111	1.5	6	8	8	2	27
112	1.5	6	8	8	2	19
113	1.5	6	8	8	3	12
114	1.5	6	8	8	3	25
115	1.5	6	8	8	4	15
116	1.5	6	8	8	4	34
