strength	module	clust
0.236505947	1	0.003899227
0.789589634	2	0.007245058
0.370575148	1	0.004264517
0.435198299	1	0.004526761
0.596339263	1	0.005222582
0.644222608	1	0.004367335
0.695986215	1	0.004675829
0.588105799	1	0.003608913
0.92953706	1	0.006232184
0.663574376	2	0.005263415
0.586195743	1	0.005518479
0.444110552	2	0.004186751
0.536817385	1	0.005253654
0.491028051	1	0.006417714
0.452771397	3	0.006230156
0.560245417	2	0.00737044
0.402454791	2	0.00666142
0.578689863	2	0.0069128
0.390938629	1	0.005187404
1.023435777	2	0.006693161
0.371496325	1	0.00304758
1.305835758	2	0.007473964
0.618039691	1	0.003742331
0.178754455	1	0.002865667
0.829244075	2	0.006075133
1.02841574	2	0.005867255
1.378182418	1	0.006557612
0.596815234	1	0.004284318
0.587085871	1	0.0045658
0.249555242	2	0.004577017
0.411715648	1	0.006830341
0.068455028	1	0.004230585
0.826790596	2	0.004695965
1.759066024	2	0.006851152
1.892285536	2	0.008880114
1.721670079	2	0.006450711
0.781784979	2	0.006053753
1.227197758	2	0.006702589
0.340834256	2	0.003984124
0.214852889	1	0.003050782
0.289522455	3	0.003024884
0.664268006	2	0.006813225
0.514603616	3	0.005251971
0.408904837	3	0.006108701
0.635924461	3	0.004602371
0.604596172	3	0.003534764
0.615350472	3	0.004631776
0.840411176	3	0.004906712
0.861585376	3	0.006030218
0.542503446	4	0.003981564
0.663480901	3	0.006831001
0.566841828	4	0.005171982
0.470229837	3	0.004679868
0.445551736	3	0.005896547
0.633575584	3	0.007178958
0.480053576	4	0.007240477
0.501362921	4	0.006415879
0.505919483	4	0.007035419
0.588359595	3	0.006668865
0.968921382	4	0.00715752
0.456346992	3	0.003996113
1.164803906	4	0.006564147
0.789021037	3	0.004506499
0.291191012	3	0.003319659
0.768783611	2	0.005747013
1.074493119	4	0.006016911
1.391306478	3	0.006568093
0.568954815	3	0.004509649
0.470943514	3	0.004628081
0.41860876	4	0.004864132
0.438729916	4	0.007608939
0.086033363	3	0.005099904
0.652265403	4	0.004044731
1.982181903	4	0.00744563
1.919993479	4	0.008304364
1.721619206	4	0.007144408
0.567767206	4	0.00477673
1.069394136	4	0.005919187
0.427785883	4	0.004899902
0.211899598	4	0.003726086
