nodes	side	localisation	order	degree
1	2	7	54	0
2	1	7	1	1
3	2	7	53	1
4	1	7	2	2
5	2	7	52	3
6	1	7	3	4
7	2	7	51	4
8	1	7	4	3
9	2	7	50	2
10	1	7	5	2
11	2	7	49	3
12	1	7	6	1
13	2	7	48	6
14	1	7	7	5
15	2	7	47	7
16	1	7	8	4
17	2	7	46	3
18	1	7	9	2
19	2	7	45	9
20	1	7	10	6
21	2	7	44	3
22	1	7	11	3
23	2	7	43	10
24	1	7	12	13
25	2	7	42	7
26	1	7	13	4
27	2	7	41	5
28	1	7	14	4
29	2	3	40	9
30	1	3	15	8
31	2	7	39	13
32	1	7	16	13
33	2	7	38	8
34	1	7	17	8
35	2	5	37	17
36	1	5	18	16
37	2	1	36	25
38	1	1	19	24
39	2	6	35	10
40	1	6	20	9
41	2	1	34	6
42	1	1	21	7
43	2	3	33	24
44	1	3	22	24
45	2	3	32	28
46	1	3	23	24
47	2	3	31	27
48	1	3	24	27
49	2	3	30	30
50	1	3	25	26
51	2	3	29	32
52	1	3	26	22
53	2	3	28	16
54	1	3	27	16
55	2	3	27	14
56	1	3	28	33
57	2	5	26	19
58	1	5	29	16
59	2	5	25	38
60	1	5	30	30
61	2	5	24	16
62	1	5	31	4
63	2	5	23	8
64	1	5	32	15
65	2	5	22	17
66	1	5	33	19
67	2	5	21	47
68	1	5	34	51
69	2	5	20	23
70	1	5	35	19
71	2	1	19	46
72	1	1	36	45
73	2	1	18	39
74	1	1	37	43
75	2	1	17	19
76	1	1	38	20
77	2	1	16	39
78	1	1	39	43
79	2	6	15	6
80	1	6	40	1
81	2	6	14	15
82	1	6	41	26
83	2	6	13	19
84	1	6	42	20
85	2	6	12	43
86	1	6	43	35
87	2	6	11	16
88	1	6	44	26
89	2	6	10	49
90	1	6	45	48
91	2	2	9	26
92	1	2	46	25
93	2	2	8	24
94	1	2	47	26
95	2	2	7	31
96	1	2	48	30
97	2	2	6	30
98	1	2	49	19
99	2	2	5	21
100	1	2	50	20
101	2	2	4	21
102	1	2	51	16
103	2	2	3	35
104	1	2	52	37
105	2	2	2	44
106	1	2	53	42
107	2	2	1	9
108	1	2	54	7
109	1.5	6	1	11
110	1.5	6	2	31
111	1.5	6	3	27
112	1.5	6	4	19
113	1.5	6	5	12
114	1.5	6	6	25
115	1.5	6	7	15
116	1.5	6	8	34
