module_discrete	degree	hub	label
1	20	0	L.caudal.anterior.cingulate
1	39	0	L.caudal.middle.frontal
4	38	0	L.cuneus
3	33	0	L.entorhinal
3	43	0	L.fusiform
2	56	0	L.inferior.parietal
3	53	0	L.inferior.temporal
2	50	0	L.isthmus.cingulate
4	57	0	L.lateral.occipital
1	55	0	L.lateral.orbitofrontal
4	46	0	L.lingual
1	51	0	L.medial.orbitofrontal
3	36	0	L.middle.temporal
3	29	0	L.parahippocampal
2	35	0	L.paracentral
1	36	0	L.pars.opercularis
1	34	0	L.pars.orbitalis
1	43	0	L.pars.triangularis
4	37	0	L.pericalcarine
2	51	0	L.postcentral
2	31	0	L.posterior.cingulate
1	52	0	L.precentral
2	65	1	L.precuneus
1	29	0	L.rostral.anterior.cingulate
1	54	0	L.rostral.middle.frontal
1	62	1	L.superior.frontal
2	70	1	L.superior.parietal
3	53	0	L.superior.temporal
2	50	0	L.supramarginal
1	30	0	L.frontal.pole
3	33	0	L.temporal.pole
3	10	0	L.transverse.temporal
3	60	1	L.insula
5	73	1	L.thalamus.proper
5	61	1	L.caudate
5	72	1	L.putamen
5	41	0	L.pallidum
5	59	0	L.hippocampus
5	36	0	L.amygdala
5	29	0	L.accumbens.area
1	28	0	R.caudal.anterior.cingulate
1	38	0	R.caudal.middle.frontal
4	42	0	R.cuneus
3	27	0	R.entorhinal
3	48	0	R.fusiform
2	55	0	R.inferior.parietal
3	46	0	R.inferior.temporal
2	51	0	R.isthmus.cingulate
4	53	0	R.lateral.occipital
1	57	0	R.lateral.orbitofrontal
4	44	0	R.lingual
1	46	0	R.medial.orbitofrontal
3	45	0	R.middle.temporal
3	29	0	R.parahippocampal
2	37	0	R.paracentral
1	33	0	R.pars.opercularis
1	39	0	R.pars.orbitalis
1	37	0	R.pars.triangularis
4	43	0	R.pericalcarine
2	49	0	R.postcentral
2	31	0	R.posterior.cingulate
1	50	0	R.precentral
2	64	1	R.precuneus
1	32	0	R.rostral.anterior.cingulate
1	56	0	R.rostral.middle.frontal
1	65	1	R.superior.frontal
2	73	1	R.superior.parietal
3	52	0	R.superior.temporal
2	43	0	R.supramarginal
1	37	0	R.frontal.pole
3	36	0	R.temporal.pole
3	10	0	R.transverse.temporal
3	55	0	R.insula
5	67	1	R.thalamus.proper
5	61	1	R.caudate
5	69	1	R.putamen
5	46	0	R.pallidum
5	63	1	R.hippocampus
5	46	0	R.amygdala
5	29	0	R.accumbens.area
