module_discrete	degree	hub
1	20	1
1	39	1
4	38	1
3	33	1
3	43	1
2	56	1
3	53	1
2	50	1
4	57	1
1	55	1
4	46	1
1	51	1
3	36	1
3	29	1
2	35	1
1	36	1
1	34	1
1	43	1
4	37	1
2	51	1
2	31	1
1	52	1
2	65	2
1	29	1
1	54	1
1	62	2
2	70	2
3	53	1
2	50	1
1	30	1
3	33	1
3	10	1
3	60	2
5	73	2
5	61	2
5	72	2
5	41	1
5	59	1
5	36	1
5	29	1
1	28	1
1	38	1
4	42	1
3	27	1
3	48	1
2	55	1
3	46	1
2	51	1
4	53	1
1	57	1
4	44	1
1	46	1
3	45	1
3	29	1
2	37	1
1	33	1
1	39	1
1	37	1
4	43	1
2	49	1
2	31	1
1	50	1
2	64	2
1	32	1
1	56	1
1	65	2
2	73	2
3	52	1
2	43	1
1	37	1
3	36	1
3	10	1
3	55	1
5	67	2
5	61	2
5	69	2
5	46	1
5	63	2
5	46	1
5	29	1
