nodes	name	side	localisation
1	Precentral_L	L	F
2	Precentral_R	R	F
3	Frontal_Sup_L	L	F
4	Frontal_Sup_R	R	F
5	Frontal_Sup_Orb_L	L	F
6	Frontal_Sup_Orb_R	R	F
7	Frontal_Mid_L	L	F
8	Frontal_Mid_R	R	F
9	Frontal_Mid_Orb_L	L	F
10	Frontal_Mid_Orb_R	R	F
11	Frontal_Inf_Oper_L	L	F
12	Frontal_Inf_Oper_R	R	F
13	Frontal_Inf_Tri_L	L	F
14	Frontal_Inf_Tri_R	R	F
15	Frontal_Inf_Orb_L	L	F
16	Frontal_Inf_Orb_R	R	F
17	Rolandic_Oper_L	L	FP
18	Rolandic_Oper_R	R	FP
19	Supp_Motor_Area_L	L	F
20	Supp_Motor_Area_R	R	F
21	Olfactory_L	L	F
22	Olfactory_R	R	F
23	Frontal_Sup_Medial_L	L	F
24	Frontal_Sup_Medial_R	R	F
25	Frontal_Med_Orb_L	L	F
26	Frontal_Med_Orb_R	R	F
27	Rectus_L	L	F
28	Rectus_R	R	F
29	Insula_L	L	I
30	Insula_R	R	I
31	Cingulum_Ant_L	L	F
32	Cingulum_Ant_R	R	F
33	Cingulum_Mid_L	L	F
34	Cingulum_Mid_R	R	F
35	Cingulum_Post_L	L	P
36	Cingulum_Post_R	R	P
37	Hippocampus_L	L	S
38	Hippocampus_R	R	S
39	ParaHippocampal_L	L	T
40	ParaHippocampal_R	R	T
41	Amygdala_L	L	S
42	Amygdala_R	R	S
43	Calcarine_L	L	O
44	Calcarine_R	R	O
45	Cuneus_L	L	O
46	Cuneus_R	R	O
47	Lingual_L	L	O
48	Lingual_R	R	O
49	Occipital_Sup_L	L	O
50	Occipital_Sup_R	R	O
51	Occipital_Mid_L	L	O
52	Occipital_Mid_R	R	O
53	Occipital_Inf_L	L	O
54	Occipital_Inf_R	R	O
55	Fusiform_L	L	TO
56	Fusiform_R	R	TO
57	Postcentral_L	L	P
58	Postcentral_R	R	P
59	Parietal_Sup_L	L	P
60	Parietal_Sup_R	R	P
61	Parietal_Inf_L	L	P
62	Parietal_Inf_R	R	P
63	SupraMarginal_L	L	P
64	SupraMarginal_R	R	P
65	Angular_L	L	P
66	Angular_R	R	P
67	Precuneus_L	L	P
68	Precuneus_R	R	P
69	Paracentral_Lobule_L	L	FP
70	Paracentral_Lobule_R	R	FP
71	Caudate_L	L	S
72	Caudate_R	R	S
73	Putamen_L	L	S
74	Putamen_R	R	S
75	Pallidum_L	L	S
76	Pallidum_R	R	S
77	Thalamus_L	L	S
78	Thalamus_R	R	S
79	Heschl_L	L	T
80	Heschl_R	R	T
81	Temporal_Sup_L	L	T
82	Temporal_Sup_R	R	T
83	Temporal_Pole_Sup_L	L	T
84	Temporal_Pole_Sup_R	R	T
85	Temporal_Mid_L	L	T
86	Temporal_Mid_R	R	T
87	Temporal_Pole_Mid_L	L	T
88	Temporal_Pole_Mid_R	R	T
89	Temporal_Inf_L	L	T
90	Temporal_Inf_R	R	T
91	Cerebelum_Crus1_L	L	C
92	Cerebelum_Crus1_R	R	C
93	Cerebelum_Crus2_L	L	C
94	Cerebelum_Crus2_R	R	C
95	Cerebelum_3_L	L	C
96	Cerebelum_3_R	R	C
97	Cerebelum_4_5_L	L	C
98	Cerebelum_4_5_R	R	C
99	Cerebelum_6_L	L	C
100	Cerebelum_6_R	R	C
101	Cerebelum_7b_L	L	C
102	Cerebelum_7b_R	R	C
103	Cerebelum_8_L	L	C
104	Cerebelum_8_R	R	C
105	Cerebelum_9_L	L	C
106	Cerebelum_9_R	R	C
107	Cerebelum_10_L	L	C
108	Cerebelum_10_R	R	C
109	Vermis_1_2	M	C
110	Vermis_3	M	C
111	Vermis_4_5	M	C
112	Vermis_6	M	C
113	Vermis_7	M	C
114	Vermis_8	M	C
115	Vermis_9	M	C
116	Vermis_10	M	C
