nodes	side	localisation	orderLR	orderRL	order	neworder	degree
1	2	7	1	15	1	1	0
2	1	7	15	1	16	116	1
3	2	7	1	15	2	2	1
4	1	7	15	1	15	115	2
5	2	7	1	15	3	3	3
6	1	7	15	1	14	114	4
7	2	7	1	15	4	4	4
8	1	7	15	1	13	113	3
9	2	7	1	15	5	5	2
10	1	7	15	1	12	112	2
11	2	7	1	15	6	6	3
12	1	7	15	1	11	111	1
13	2	7	1	15	7	7	6
14	1	7	15	1	10	110	5
15	2	7	1	15	8	8	7
16	1	7	15	1	9	109	4
17	2	7	1	15	9	9	3
18	1	7	15	1	8	108	2
19	2	7	1	15	10	10	9
20	1	7	15	1	7	107	6
21	2	7	1	15	11	11	3
22	1	7	15	1	6	106	3
23	2	7	1	15	12	12	10
24	1	7	15	1	5	105	13
25	2	7	1	15	13	13	7
26	1	7	15	1	4	104	4
27	2	7	1	15	14	14	5
28	1	7	15	1	3	103	4
29	2	3	2	14	1	15	9
30	1	3	14	2	1	102	8
31	2	7	1	15	15	16	13
32	1	7	15	1	2	101	13
33	2	7	1	15	16	17	8
34	1	7	15	1	1	100	8
35	2	5	4	12	1	18	17
36	1	5	12	4	8	99	16
37	2	1	6	10	1	19	25
38	1	1	10	6	6	98	24
39	2	6	3	13	1	20	10
40	1	6	13	3	7	97	9
41	2	1	6	10	3	21	6
42	1	1	10	6	6	96	7
43	2	3	5	11	1	22	24
44	1	3	11	5	7	95	24
45	2	3	5	11	2	23	28
46	1	3	11	5	6	94	24
47	2	3	5	11	3	24	27
48	1	3	11	5	5	93	27
49	2	3	5	11	4	25	30
50	1	3	11	5	4	92	26
51	2	3	5	11	5	26	32
52	1	3	11	5	3	91	22
53	2	3	5	11	6	27	16
54	1	3	11	5	2	90	16
55	2	3	5	11	7	28	14
56	1	3	11	5	1	89	33
57	2	5	4	12	2	29	19
58	1	5	12	4	7	88	16
59	2	5	4	12	3	30	38
60	1	5	12	4	7	87	30
61	2	5	4	12	4	31	16
62	1	5	12	4	6	86	4
63	2	5	4	12	5	32	8
64	1	5	12	4	5	85	15
65	2	5	4	12	6	33	17
66	1	5	12	4	4	84	19
67	2	5	4	12	7	34	47
68	1	5	12	4	3	83	51
69	2	5	4	12	8	35	23
70	1	5	12	4	2	82	19
71	2	1	6	10	2	36	46
72	1	1	10	6	5	81	45
73	2	1	6	10	3	37	39
74	1	1	10	6	4	80	43
75	2	1	6	10	4	38	19
76	1	1	10	6	3	79	20
77	2	1	6	10	5	39	39
78	1	1	10	6	3	78	43
79	2	6	3	13	2	40	6
80	1	6	13	3	2	77	1
81	2	6	3	13	2	41	15
82	1	6	13	3	6	76	26
83	2	6	3	13	3	42	19
84	1	6	13	3	5	75	20
85	2	6	3	13	4	43	43
86	1	6	13	3	4	74	35
87	2	6	3	13	5	44	16
88	1	6	13	3	3	73	26
89	2	6	3	13	6	45	49
90	1	6	13	3	2	72	48
91	2	2	7	9	1	46	26
92	1	2	9	7	1	71	25
93	2	2	7	9	2	47	24
94	1	2	9	7	2	70	26
95	2	2	7	9	3	48	31
96	1	2	9	7	3	69	30
97	2	2	7	9	4	49	30
98	1	2	9	7	4	68	19
99	2	2	7	9	5	50	21
100	1	2	9	7	5	67	20
101	2	2	7	9	6	51	21
102	1	2	9	7	6	66	16
103	2	2	7	9	7	52	35
104	1	2	9	7	7	65	37
105	2	2	7	9	8	53	44
106	1	2	9	7	8	64	42
107	2	2	7	9	9	54	9
108	1	2	9	7	9	63	7
109	1.5	1	8	8	1	55	11
110	1.5	1	8	8	1	62	31
111	1.5	1	8	8	2	56	27
112	1.5	1	8	8	2	61	19
113	1.5	1	8	8	3	57	12
114	1.5	1	8	8	3	60	25
115	1.5	1	8	8	4	58	15
116	1.5	1	8	8	4	59	34
