WDegree	ADegree	FDegree	WModCon	WModPat	AModCon	AModPat	FModCon	FModPat	Lobes
1	8	9	1	1	1	1	1	1	1
10	15	8	1	1	1	1	1	1	1
10	3	7	2	1	1	1	1	1	1
21	1	4	2	1	2	2	2	2	1
7	15	14	1	1	1	1	1	2	1
9	10	14	3	2	1	1	3	1	1
6	4	8	2	1	1	1	1	1	1
11	2	10	3	1	1	1	1	1	1
8	3	5	1	1	1	1	2	1	1
6	7	5	1	1	1	2	2	1	1
7	6	6	2	1	1	1	1	1	1
11	5	10	3	2	1	1	1	1	1
12	15	6	2	2	1	1	3	1	1
25	11	10	3	2	1	1	1	2	1
5	11	7	1	1	1	1	1	1	1
16	10	7	1	2	1	1	1	1	1
11	4	5	2	1	1	1	1	2	1
5	3	14	1	1	1	1	1	2	1
13	5	7	1	1	1	1	1	1	1
13	4	4	1	1	2	2	1	2	1
7	9	12	1	1	1	1	2	1	1
6	12	6	1	2	2	3	2	2	1
15	3	3	1	1	2	2	2	2	1
14	14	17	1	1	2	2	2	2	1
9	7	3	1	1	2	1	2	2	2
10	2	5	1	1	2	2	2	2	2
20	3	3	3	2	2	2	2	2	2
18	5	6	3	2	2	2	2	2	2
11	4	4	1	1	2	2	2	2	2
6	1	4	1	1	2	2	2	2	2
10	3	6	1	1	2	2	2	2	2
8	7	9	1	1	2	2	2	2	2
7	4	6	1	1	2	2	2	2	2
4	15	9	1	1	2	2	2	2	2
6	12	13	1	1	2	2	2	2	2
23	10	7	1	1	2	2	2	2	2
17	8	19	1	1	2	2	2	2	3
5	2	6	1	1	2	2	2	2	3
16	9	11	1	1	2	2	2	2	3
6	9	8	1	1	3	2	2	1	3
16	1	2	1	1	1	2	3	2	3
6	3	6	1	2	3	2	2	2	3
8	8	10	1	1	2	2	2	2	3
6	8	4	1	1	2	2	2	2	3
7	11	14	1	1	2	2	2	2	3
17	7	6	1	1	2	2	2	2	3
7	7	9	1	1	2	2	2	2	3
7	5	6	1	1	2	2	2	2	3
16	3	7	1	1	2	2	2	2	3
11	3	3	1	1	3	3	3	1	3
20	2	5	1	1	3	2	2	2	3
13	5	6	1	1	2	2	3	3	3
8	7	19	2	1	2	2	2	2	3
5	7	21	1	1	3	2	2	3	3
9	5	7	2	2	1	2	2	2	3
6	10	11	1	1	2	2	2	1	3
12	10	10	2	2	2	2	2	2	3
10	16	14	2	2	2	3	3	3	3
6	6	6	1	1	3	3	3	3	4
7	23	9	1	1	3	3	3	3	4
5	9	4	1	1	3	3	2	3	4
3	9	7	1	1	3	2	2	2	4
5	7	8	1	1	3	3	3	3	4
6	15	1	1	1	3	3	3	3	4
8	4	6	1	1	3	2	2	2	4
13	5	9	1	1	2	2	2	2	4
6	10	6	3	1	3	3	3	3	4
2	10	7	1	1	1	1	3	1	4
4	19	2	3	2	3	3	3	3	4
27	8	7	1	1	2	2	2	2	1
5	8	6	1	1	2	2	2	2	1
11	5	4	3	2	2	2	2	2	1
6	10	11	1	1	2	2	2	2	1
10	12	4	3	1	2	2	2	2	1
8	4	3	3	2	2	2	2	2	1
4	4	8	3	1	2	2	2	2	1
6	4	5	1	1	2	2	2	2	5
10	4	0	3	1	2	2	2	2	5
1	7	9	1	1	2	2	2	2	5
10	10	11	1	1	3	1	3	1	2
13	12	8	3	2	3	3	3	3	2
9	13	12	1	1	3	3	3	3	2
3	8	5	1	1	2	2	2	2	5
15	6	5	3	2	1	1	1	1	5
8	6	9	1	1	1	1	2	1	5
5	5	5	1	1	2	2	2	1	5
5	10	5	2	1	1	1	1	1	5
5	13	7	1	1	1	1	1	1	5
6	12	19	3	2	2	3	3	3	5
6	7	4	3	2	1	1	3	1	5
8	14	3	3	2	1	1	3	3	5
9	9	15	1	1	2	2	2	2	5
9	17	12	1	1	2	2	2	2	5
2	12	3	1	1	3	2	2	2	5
19	4	9	2	1	1	1	1	1	5
16	19	11	2	1	1	1	1	1	5
9	16	13	1	1	1	1	1	1	5
6	5	13	3	2	2	2	3	2	5
6	17	12	1	2	1	1	1	1	5
3	13	9	1	1	1	1	1	1	5
5	21	14	2	2	1	1	1	1	5
10	19	25	2	1	1	1	1	1	5
3	7	14	3	2	1	1	1	3	5
5	16	15	3	2	1	3	1	1	5
4	8	18	3	2	1	1	1	1	5
7	11	16	3	2	3	3	3	3	7
6	12	10	3	2	3	3	3	3	7
5	13	12	3	2	3	3	3	3	7
9	14	8	3	2	3	3	3	3	7
11	5	6	3	2	3	3	3	3	7
4	4	8	3	2	3	3	3	3	7
4	6	8	3	2	3	3	3	3	7
11	2	6	3	2	3	3	3	3	7
4	7	9	3	2	3	3	3	3	7
9	11	12	3	2	3	3	3	3	6
12	6	13	3	2	3	3	3	3	6
6	8	4	3	2	3	3	3	3	6
0	12	10	3	2	3	3	3	3	6
3	4	8	3	2	3	3	3	3	6
1	11	15	3	2	3	3	3	3	6
7	6	7	3	2	3	3	3	3	6
3	9	28	3	2	3	3	3	3	6
6	10	8	3	2	3	3	3	3	6
5	9	9	3	2	3	3	3	3	6
3	10	13	3	2	3	3	3	3	6
11	13	9	3	2	3	3	3	3	6
