nodes	side	orderRL	neworder	degree
2	1	1	1	1
4	1	1	2	2
6	1	1	3	4
8	1	1	4	3
10	1	1	5	2
12	1	1	6	1
14	1	1	7	5
16	1	1	8	4
18	1	1	9	2
20	1	1	10	6
22	1	1	11	3
24	1	1	12	13
26	1	1	13	4
28	1	1	14	4
30	1	2	15	8
32	1	1	16	13
34	1	1	17	8
36	1	4	18	16
38	1	6	19	24
40	1	3	20	9
42	1	6	21	7
44	1	5	22	24
46	1	5	23	24
48	1	5	24	27
50	1	5	25	26
52	1	5	26	22
54	1	5	27	16
56	1	5	28	33
58	1	4	29	16
60	1	4	30	30
62	1	4	31	4
64	1	4	32	15
66	1	4	33	19
68	1	4	34	51
70	1	4	35	19
72	1	6	36	45
74	1	6	37	43
76	1	6	38	20
78	1	6	39	43
80	1	3	40	1
82	1	3	41	26
84	1	3	42	20
86	1	3	43	35
88	1	3	44	26
90	1	3	45	48
92	1	7	46	25
94	1	7	47	26
96	1	7	48	30
98	1	7	49	19
100	1	7	50	20
102	1	7	51	16
104	1	7	52	37
106	1	7	53	42
108	1	7	54	7
109	1.5	8	55	11
110	1.5	8	56	31
111	1.5	8	57	27
112	1.5	8	58	19
113	1.5	8	59	12
114	1.5	8	60	25
115	1.5	8	61	15
116	1.5	8	62	34
107	2	9	63	9
105	2	9	64	44
103	2	9	65	35
101	2	9	66	21
99	2	9	67	21
97	2	9	68	30
95	2	9	69	31
93	2	9	70	24
91	2	9	71	26
89	2	13	72	49
87	2	13	73	16
85	2	13	74	43
83	2	13	75	19
81	2	13	76	15
79	2	13	77	6
77	2	10	78	39
75	2	10	79	19
73	2	10	80	39
71	2	10	81	46
69	2	12	82	23
67	2	12	83	47
65	2	12	84	17
63	2	12	85	8
61	2	12	86	16
59	2	12	87	38
57	2	12	88	19
55	2	11	89	14
53	2	11	90	16
51	2	11	91	32
49	2	11	92	30
47	2	11	93	27
45	2	11	94	28
43	2	11	95	24
41	2	10	96	6
39	2	13	97	10
37	2	10	98	25
35	2	12	99	17
33	2	15	100	8
31	2	15	101	13
29	2	14	102	9
27	2	15	103	5
25	2	15	104	7
23	2	15	105	10
21	2	15	106	3
19	2	15	107	9
17	2	15	108	3
15	2	15	109	7
13	2	15	110	6
11	2	15	111	3
9	2	15	112	2
7	2	15	113	4
5	2	15	114	3
3	2	15	115	1
1	2	15	116	0
