nodes	side	loca
1	1	1
2	2	1
3	1	1
4	2	1
5	1	1
6	2	1
7	1	1
8	2	1
9	1	1
10	2	1
11	1	1
12	2	1
13	1	1
14	2	1
15	1	1
16	2	1
17	1	1
18	2	1
19	1	1
20	2	1
21	1	1
22	2	1
23	1	1
24	2	1
25	1	1
26	2	1
27	1	1
28	2	1
29	1	5
30	2	5
31	1	1
32	2	1
33	1	1
34	2	1
35	1	3
36	2	3
37	1	7
38	2	7
39	1	2
40	2	2
41	1	7
42	2	7
43	1	4
44	2	4
45	1	4
46	2	4
47	1	4
48	2	4
49	1	4
50	2	4
51	1	4
52	2	4
53	1	4
54	2	4
55	1	4
56	2	4
57	1	3
58	2	3
59	1	3
60	2	3
61	1	3
62	2	3
63	1	3
64	2	3
65	1	3
66	2	3
67	1	3
68	2	3
69	1	3
70	2	3
71	1	7
72	2	7
73	1	7
74	2	7
75	1	7
76	2	7
77	1	7
78	2	7
79	1	2
80	2	2
81	1	2
82	2	2
83	1	2
84	2	2
85	1	2
86	2	2
87	1	2
88	2	2
89	1	2
90	2	2
91	1	6
92	2	6
93	1	6
94	2	6
95	1	6
96	2	6
97	1	6
98	2	6
99	1	6
100	2	6
101	1	6
102	2	6
103	1	6
104	2	6
105	1	6
106	2	6
107	1	6
108	2	6
109	1.5	6
110	1.5	6
111	1.5	6
112	1.5	6
113	1.5	6
114	1.5	6
115	1.5	6
116	1.5	6
