module_discrete	degree	hub
1	0	0
1	0	0
4	0	0
3	0	0
3	0	0
2	0	0
3	0	0
2	0	0
4	0	0
1	0	0
4	0	0
1	0	0
3	0	0
3	0	0
2	0	0
1	0	0
1	0	0
1	0	0
4	0	0
2	0	0
2	0	0
1	0	0
2	1	1
1	0	0
1	0	0
1	8	1
2	3	1
3	0	0
2	0	0
1	0	0
3	0	0
3	0	0
3	3	1
5	1	1
5	1	1
5	1	1
5	0	0
5	0	0
5	0	0
5	0	0
1	0	0
1	0	0
4	0	0
3	0	0
3	0	0
2	0	0
3	0	0
2	0	0
4	0	0
1	0	0
4	0	0
1	0	0
3	0	0
3	0	0
2	0	0
1	0	0
1	0	0
1	0	0
4	0	0
2	0	0
2	0	0
1	0	0
2	2	1
1	0	0
1	0	0
1	8	1
2	5	1
3	0	0
2	0	0
1	0	0
3	0	0
3	0	0
3	0	0
5	1	1
5	2	1
5	3	1
5	0	0
5	3	1
5	0	0
5	0	0
