nodes	side	localisation	orderside	order	degree
1	2	7	1	54	0
2	1	7	15	1	1
3	2	7	1	53	1
4	1	7	15	2	2
5	2	7	1	52	3
6	1	7	15	3	4
7	2	7	1	51	4
8	1	7	15	4	3
9	2	7	1	50	2
10	1	7	15	5	2
11	2	7	1	49	3
12	1	7	15	6	1
13	2	7	1	48	6
14	1	7	15	7	5
15	2	7	1	47	7
16	1	7	15	8	4
17	2	7	1	46	3
18	1	7	15	9	2
19	2	7	1	45	9
20	1	7	15	10	6
21	2	7	1	44	3
22	1	7	15	11	3
23	2	7	1	43	10
24	1	7	15	12	13
25	2	7	1	42	7
26	1	7	15	13	4
27	2	7	1	41	5
28	1	7	15	14	4
29	2	3	2	40	9
30	1	3	14	15	8
31	2	7	1	39	13
32	1	7	15	16	13
33	2	7	1	38	8
34	1	7	15	17	8
35	2	5	4	37	17
36	1	5	12	18	16
37	2	1	6	36	25
38	1	1	10	19	24
39	2	6	3	35	10
40	1	6	13	20	9
41	2	1	6	34	6
42	1	1	10	21	7
43	2	3	5	33	24
44	1	3	11	22	24
45	2	3	5	32	28
46	1	3	11	23	24
47	2	3	5	31	27
48	1	3	11	24	27
49	2	3	5	30	30
50	1	3	11	25	26
51	2	3	5	29	32
52	1	3	11	26	22
53	2	3	5	28	16
54	1	3	11	27	16
55	2	3	5	27	14
56	1	3	11	28	33
57	2	5	4	26	19
58	1	5	12	29	16
59	2	5	4	25	38
60	1	5	12	30	30
61	2	5	4	24	16
62	1	5	12	31	4
63	2	5	4	23	8
64	1	5	12	32	15
65	2	5	4	22	17
66	1	5	12	33	19
67	2	5	4	21	47
68	1	5	12	34	51
69	2	5	4	20	23
70	1	5	12	35	19
71	2	1	6	19	46
72	1	1	10	36	45
73	2	1	6	18	39
74	1	1	10	37	43
75	2	1	6	17	19
76	1	1	10	38	20
77	2	1	6	16	39
78	1	1	10	39	43
79	2	6	3	15	6
80	1	6	13	40	1
81	2	6	3	14	15
82	1	6	13	41	26
83	2	6	3	13	19
84	1	6	13	42	20
85	2	6	3	12	43
86	1	6	13	43	35
87	2	6	3	11	16
88	1	6	13	44	26
89	2	6	3	10	49
90	1	6	13	45	48
91	2	2	7	9	26
92	1	2	9	46	25
93	2	2	7	8	24
94	1	2	9	47	26
95	2	2	7	7	31
96	1	2	9	48	30
97	2	2	7	6	30
98	1	2	9	49	19
99	2	2	7	5	21
100	1	2	9	50	20
101	2	2	7	4	21
102	1	2	9	51	16
103	2	2	7	3	35
104	1	2	9	52	37
105	2	2	7	2	44
106	1	2	9	53	42
107	2	2	7	1	9
108	1	2	9	54	7
109	1.5	6	8	1	11
110	1.5	6	8	2	31
111	1.5	6	8	3	27
112	1.5	6	8	4	19
113	1.5	6	8	5	12
114	1.5	6	8	6	25
115	1.5	6	8	7	15
116	1.5	6	8	8	34
