nodes	side	localisation
1	2	1
2	1	1
3	2	1
4	1	1
5	2	1
6	1	1
7	2	1
8	1	1
9	2	1
10	1	1
11	2	1
12	1	1
13	2	1
14	1	1
15	2	1
16	1	1
17	2	1
18	1	1
19	2	1
20	1	1
21	2	1
22	1	1
23	2	1
24	1	1
25	2	1
26	1	1
27	2	1
28	1	1
29	2	5
30	1	5
31	2	1
32	1	1
33	2	1
34	1	1
35	2	3
36	1	3
37	2	7
38	1	7
39	2	2
40	1	2
41	2	7
42	1	7
43	2	4
44	1	4
45	2	4
46	1	4
47	2	4
48	1	4
49	2	4
50	1	4
51	2	4
52	1	4
53	2	4
54	1	4
55	2	4
56	1	4
57	2	3
58	1	3
59	2	3
60	1	3
61	2	3
62	1	3
63	2	3
64	1	3
65	2	3
66	1	3
67	2	3
68	1	3
69	2	3
70	1	3
71	2	7
72	1	7
73	2	7
74	1	7
75	2	7
76	1	7
77	2	7
78	1	7
79	2	2
80	1	2
81	2	2
82	1	2
83	2	2
84	1	2
85	2	2
86	1	2
87	2	2
88	1	2
89	2	2
90	1	2
91	2	6
92	1	6
93	2	6
94	1	6
95	2	6
96	1	6
97	2	6
98	1	6
99	2	6
100	1	6
101	2	6
102	1	6
103	2	6
104	1	6
105	2	6
106	1	6
107	2	6
108	1	6
109	1.5	6
110	1.5	6
111	1.5	6
112	1.5	6
113	1.5	6
114	1.5	6
115	1.5	6
116	1.5	6
