degree	division	
30	1	
29	2	
35	3	
29	4	
11	5	
24	6	
25	7	
19	8	
9	9	
11	10	
31	11	
27	12	
44	13	
49	14	
20	15	
15	16	
13	17	
17	18	
20	19	
18	20	
29	21	
29	22	
9	23	
18	24	
9	25	
7	26	
8	27	
29	28	
16	29	
13	30	
16	31	
10	32	
15	33	
14	34	
8	35	
4	36	
7	37	
8	38	
9	39	
17	40	
21	41	
10	42	
12	43	
26	44	
30	45	
12	46	
10	47	
8	48	
7	49	
17	50	
15	51	
17	52	
18	53	
134	54	
137	55	
102	56	
104	57	
52	58	
63	59	
62	60	
63	61	
28	62	
24	63	
26	64	
30	65	
26	66	
42	67	
31	68	
53	69	
34	70	
32	71	
22	72	
12	73	
20	74	
16	75	
21	76	
16	77	
16	78	
17	79	
16	80	
14	81	
17	82	
25	83	
29	84	
19	85	
22	86	
19	87	
23	88	
18	89	
18	90	
18	91	
10	92	
3	93	
12	94	
17	95	
26	96	
17	97	
24	98	
20	99	
10	100	
10	101	
9	102	
26	103	
24	104	
16	105	
11	106	
8	107	
8	108	
59	109	
14	110	
37	111	
22	112	
20	113	
28	114	
41	115	
18	116	
14	117	
14	118	
20	119	
15	120	
16	121	
8	122	
9	123	
17	124	
19	125	
12	126	
12	127	
18	128	
16	129	
23	130	
28	131	
18	132	
21	133	
23	134	
21	135	
8	136	
5	137	
16	138	
17	139	
12	140	
11	141	
10	142	
15	143	
13	144	
10	145	
7	146	
17	147	
3	148	
2	149	
13	150	
64	151	
69	152	
8	153	
7	154	
12	155	
30	156	
33	157	
35	158	
35	159	
18	160	
30	161	
38	162	
36	163	
11	164	
7	165	
42	166	
44	167	
58	168	
54	169	
30	170	
26	171	
24	172	
17	173	
22	174	
49	175	
36	176	
43	177	
38	178	
43	179	
18	180	
17	181	
27	182	
38	183	
18	184	
21	185	
26	186	
25	187	
29	188	
28	189	
28	190	
33	191	
14	192	
13	193	
17	194	
27	195	
17	196	
10	197	
38	198	
30	199	
11	200	
12	201	
15	202	
18	203	
17	204	
14	205	
18	206	
13	207	
12	208	
13	209	
19	210	
6	211	
5	212	
7	213	
7	214	
5	215	
10	216	
15	217	
13	218	
18	219	
21	220	
12	221	
14	222	
24	223	
28	224	
25	225	
24	226	
7	227	
9	228	
6	229	
7	230	
15	231	
19	232	
14	233	
20	234	
14	235	
12	236	
16	237	
15	238	
11	239	
17	240	
19	241	
18	242	
14	243	
11	244	
12	245	
25	246	
24	247	
5	248	
13	249	
26	250	
27	251	
25	252	
12	253	
15	254	
13	255	
16	256	
9	257	
16	258	
21	259	
16	260	
11	261	
18	262	
20	263	
29	264	
9	265	
12	266	
27	267	
23	268	
20	269	
19	270	
21	271	
19	272	
9	273	
4	274	
7	275	
12	276	
6	277	
9	278	
13	279	
