Degree	Lobe
1	1
10	1
10	1
21	1
7	1
9	1
6	1
11	1
8	1
6	1
7	1
11	1
12	1
25	1
5	1
16	1
11	1
5	1
13	1
13	1
7	1
6	1
15	1
14	1
9	2
10	2
20	2
18	2
11	2
6	2
10	2
8	2
7	2
4	2
6	2
23	2
17	3
5	3
16	3
6	3
16	3
6	3
8	3
6	3
7	3
17	3
7	3
7	3
16	3
11	3
20	3
13	3
8	3
5	3
9	3
6	3
12	3
10	3
6	4
7	4
5	4
3	4
5	4
6	4
8	5
13	5
6	5
2	5
4	5
27	1
5	1
11	1
6	1
10	1
8	1
4	1
6	6
10	6
1	6
10	5
13	5
9	5
3	6
15	6
8	6
5	6
5	6
5	6
6	6
6	6
8	6
9	6
9	6
2	6
19	6
16	6
9	6
6	6
6	6
3	6
5	6
10	6
3	6
5	6
4	6
7	8
6	8
5	8
9	8
11	8
4	8
4	8
11	8
4	8
9	7
12	7
6	7
0	7
3	7
1	7
7	7
3	7
6	7
5	7
3	7
11	7
